Coauthors,Publications
114,158
33,54
159,260
64,77
40,64
25,40
26,28
66,53
78,102
87,248
41,74
173,271
30,12
216,235
159,298
56,88
47,57
224,367
101,317
45,72
114,158
75,109
40,64
164,176
34,38
137,119
21,36
140,121
78,102
106,130
180,72
464,495
302,192
94,108
53,72
147,111
112,57
40,64
87,248
173,271
159,298
10,5
18,19
14,5
52,47
72,49
4,5
77,64
53,51
53,25
15,11
131,132
57,44
79,76
169,211
8,6
101,317
169,227
82,132
123,62
129,147
21,36
48,37
175,146
464,495
312,300
114,92
96,59
77,77
61,130
102,91
32,92
90,82
22,41
157,144
91,52
14,23
140,121
180,72
173,271
8,6
54,56
302,192
59,54
180,72
134,105
99,56
25,40
29,37
100,96
47,57
84,39
11,12
50,30
40,48
33,54
66,53
45,72
52,47
22,30
34,38
70,108
18,19
54,56
98,156
90,82
132,181
141,135
109,93
138,100
80,38
22,41
51,47
62,45
359,491
109,75
29,37
123,62
131,132
57,44
79,76
47,55
157,159
33,20
36,14
54,41
22,41
46,74
76,48
59,54
112,57